,Attribute,ChildDeps,ChildPOS,ChildWords,Class,ParentDeps,ParentPOS,ParentWords,Sentence
61,customer,[u'case'],[u'CC'],[u'but'],0,[u'nmod'],[u'NNS'],[u'issues'],had a few issues at the start but customer service was on point with actual fluent english i may add
62,drive,"[u'case', u'det', u'amod', u'neg', u'compound']","[u'IN', u'DT', u'JJ', u'DT', u'NN']","[u'like', u'a', u'regular', u'no', u'dvd']",0,"[u'nmod', u'dobj']","[u'VBZ', u'VBZ']","[u'works', u'theres']",this works like a regular computer although theres no dvd drive but whens the last time i popped one in
63,,[],[],[],0,[],[],[],i presume the missing gb comprise recovery partition files
64,,[],[],[],0,[],[],[],i went into google play store last week to test a beta program that allows me to use android apps
65,product,[u'dep'],[u'RB'],[u'ever'],0,[u'dep'],[u'NNS'],[u'windows'],my last windows product ever
66,battery,"[u'case', u'advmod', u'det']","[u'IN', u'RB', u'DT']","[u'on', u'just', u'the']",0,[u'nmod'],[u'NNS'],[u'hours'],i have had it now for two days and last night i used to play music to sleep to for nine hours on just the battery and when i woke up it was still going
67,size,"[u'nsubj', u'cop', u'case', u'det', u'amod', u'nmod']","[u'NN', u'VBZ', u'IN', u'DT', u'JJ', u'NN']","[u'keyboard', u'is', u'about', u'the', u'same', u'keyboard']",0,[],[],[],keyboard the keyboard is about the same size as the standard mac keyboard
68,screen,"[u'case', u'det', u'acl:relcl', u'case', u'det']","[u'IN', u'DT', u'VBN', u'IN', u'DT']","[u'of', u'the', u'progressed', u'of', u'the']",0,"[u'nmod', u'nmod']","[u'NN', u'JJ']","[u'portion', u'third']",last week a defect started to appear on the upper left portion of the screen that has now progressed to a third of the screen blocked out and unusable
69,products,"[u'case', u'nmod:poss']","[u'IN', u'PRP$']","[u'by', u'their']",0,[u'nmod'],[u'VB'],[u'stand'],this is my th owned laptop the rest have been through work and i went back to dell for the extra because i have never had any issue with them and they do stand by their products
70,,[],[],[],1,[],[],[],at first i thought it would be really nice to have snapseed but polarr has exceeded snapseed in functionality and it runs on chromeos
71,screen,[u'det'],[u'DT'],[u'the'],0,[u'conj'],[u'NN'],[u'nothing'],this laptop weighs next to nothing and the screen is about the thickness of a few pieces of cardstock
72,computer,"[u'dep', u'det', u'amod', u'acl:relcl']","[u'RB', u'DT', u'JJ', u'VB']","[u'just', u'a', u'regular', u'get']",0,[],[],[],just a regular computer which will get your regular day to day work done
73,,[],[],[],1,[],[],[],it would be nice to simply connect to any printer via the cloud rather than have to go through my mac
74,hardware,"[u'case', u'nummod', u'compound', u'det']","[u'IN', u'CD', u'NN', u'DT']","[u'after', u'one', u'month', u'the']",0,"[u'nmod', u'nsubj', u'compound']","[u'VBD', u'VBD', u'NN']","[u'had', u'had', u'issue']",after less than one month usage the product had a hardware issue
75,usage,[],[],[],0,[u'compound'],[u'NNS'],[u'docts'],im a college student and was looking for something for internet usage word docts social media etc
76,product,[u'det'],[u'DT'],[u'this'],0,[u'nsubj'],[u'VBD'],[u'worked'],overall if this product actually worked correctly it might be worth getting
77,product,"[u'nsubj', u'cop', u'nmod:poss', u'amod', u'compound', u'acl:relcl']","[u'DT', u'VBZ', u'PRP$', u'JJ', u'NN', u'VB']","[u'this', u'is', u'my', u'last', u'hp', u'spend']",0,[],[],[],this is my last hp product i will spend my money on
78,hardware,"[u'neg', u'amod', u'advmod', u'dep', u'dep']","[u'DT', u'JJ', u'RBR', u'NN', u'NNS']","[u'no', u'hard', u'more', u'top', u'rigs']",1,"[u'amod', u'compound']","[u'NNS', u'NNS']","[u'disks', u'issues']",no more hard disks no more top heavy rigs and hopefully no more random hardware issues
79,manufacturer,"[u'case', u'det', u'amod', u'compound']","[u'IN', u'DT', u'JJ', u'NN']","[u'with', u'a', u'proper', u'pc']",0,[u'nmod'],[u'VB'],[u'go'],next time i will go with a proper pc manufacturer
80,source,"[u'case', u'det']","[u'IN', u'DT']","[u'from', u'the']",0,[u'nmod'],[u'VB'],[u'drag'],or select the file and carefully drag the file from the source into the target folder
81,power,"[u'det', u'nmod']","[u'DT', u'NN']","[u'the', u'inch']",0,[u'nsubj'],[u'VBP'],[u'macbook'],the power of a inch macbook pro for less
82,,[],[],[],1,[],[],[],the wifi connection on it would be okay for a while but if i move to a different wifi server i would have to turn it off and turn it back on to connect
83,package,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBZ'],[u'includes'],the package includes instructions with diagrams and hp offers support if you need extra help
84,years,"[u'det', u'compound']","[u'DT', u'NN']","[u'this', u'computer']",0,"[u'nmod:tmod', u'compound', u'compound']","[u'VBD', u'NNS', u'NN']","[u'purchased', u'years', u'minimum']",i purchased this computer years ago with the expectation that this will be the last tablet i will need for to years minimum
85,,[],[],[],0,[],[],[],having a touchscreen on a gaming laptop made even less sense to me in practice as using it even a few times immediately created smudges and fingerprints that i spent time wiping off and decided not to use again
86,user,[],[],[],0,"[u'compound', u'compound']","[u'NN', u'NN']","[u'swappable', u'swappable']",the ibook needed to be pulled apart almost to the last screw to replace the hd while the macbook hd sits under a hatch below the battery compartment user swappable in five minutes
87,,[],[],[],0,[],[],[],i will update this review in a few months to report back on how this baby is running but i expect no problems
88,model,"[u'det', u'case', u'amod']","[u'DT', u'IN', u'JJ']","[u'the', u'with', u'same']",0,"[u'dobj', u'nmod']","[u'VBN', u'VBN']","[u'verified', u'verified']",i verified the description with same model on microsoft store and its indeed standard
89,battery,"[u'nummod', u'cc', u'conj', u'det']","[u'CD', u'CC', u'NN', u'DT']","[u'one', u'and', u'battery', u'the']",0,"[u'nsubj', u'conj']","[u'VBG', u'NN']","[u'charging', u'year']",less than one year and the battery is not charging
90,screen,"[u'det', u'compound', u'det']","[u'DT', u'NN', u'DT']","[u'the', u'touch', u'the']",0,"[u'nsubj', u'nsubj']","[u'VBD', u'VBZ']","[u'glitches', u'acts']",the touch screen regularly glitches leaving points where the screen acts as if i am interacting and will not let me touch anywhere else
91,,[],[],[],0,[],[],[],note that some functions e g webex last i checked still dont support chrome os
92,usb,[],[],[],0,[u'dobj'],[u'VBG'],[u'using'],dell is using usb c ports which will be the future standard
93,,[],[],[],0,[],[],[],i did not and a few hours later the problem i had been having seems to have self resolved
94,ram,"[u'case', u'amod', u'advmod', u'cc', u'conj']","[u'IN', u'JJ', u'RBR', u'CC', u'JJR']","[u'with', u'ram', u'less', u'and', u'less']",0,"[u'nmod', u'amod']","[u'IN', u'NN']","[u'for', u'speed']",for not even close to i from lenovo with less ram and less speed
95,,[],[],[],0,[],[],[],but it started coming apart in less than a month
96,computer,[u'compound'],[u'NN'],[u'th'],0,[u'nsubj'],[u'VB'],[u'turn'],last week aug th computer would not turn on despite being charged for days
97,year,"[u'case', u'det', u'compound', u'case']","[u'IN', u'DT', u'NN', u'IN']","[u'at', u'this', u'budget', u'about']",0,"[u'nmod', u'nmod']","[u'VB', u'VB']","[u'expect', u'last']",at this budget price you can expect the laptop to last about year
98,year,[u'nummod'],[u'DT'],[u'a'],0,[u'nmod:npmod'],[u'RB'],[u'ago'],yet i run windows professional on a lenovo w purchased less than a year ago approx
99,part,"[u'advmod', u'det', u'case', u'det', u'acl:relcl', u'det', u'compound', u'det']","[u'RBR', u'DT', u'IN', u'DT', u'VBG', u'DT', u'NN', u'DT']","[u'less', u'this', u'than', u'a', u'refusing', u'the', u'year', u'the']",0,"[u'nmod', u'nmod:npmod', u'dobj', u'compound', u'nsubjpass']","[u'VBN', u'RBR', u'VB', u'NN', u'VBN']","[u'had', u'less', u'honor', u'warranty', u'covered']",i sent it to asus after dealing with all the problems and now even though i have had this computer less than a year they are refusing to honor the year warranty stating the part is not covered
100,drives,"[u'case', u'det', u'amod', u'amod', u'compound', u'compound', u'compound', u'compound']","[u'TO', u'DT', u'JJ', u'JJ', u'NN', u'NNS', u'NN', u'NN']","[u'to', u'a', u'few', u'different', u'ram', u'chips', u'ssd', u'hdd']",1,"[u'nmod', u'compound', u'conj']","[u'VB', u'NNS', u'NN']","[u'provide', u'drives', u'bay']",it would be really nice if someone could provide a couple of links to a few different ram chips ssd drives for the empty bay and hdd drives if you choose to go that way with extra storage
101,model,"[u'nsubj', u'cop', u'det', u'amod', u'nmod']","[u'PRP', u'VBZ', u'DT', u'JJ', u'NNS']","[u'it', u'is', u'the', u'last', u'stores']",0,[],[],[],it is the last model still in stores that is you can upgrade and repair
102,computer,"[u'case', u'det', u'amod', u'nmod']","[u'CC', u'DT', u'JJ', u'NN']","[u'but', u'a', u'solid', u'work']",0,[u'nmod'],[u'NNS'],[u'bells'],no bells and whistles but a solid computer for class work and surfing the net
103,price,"[u'case', u'case', u'det', u'amod']","[u'IN', u'IN', u'DT', u'JJ']","[u'in', u'for', u'the', u'same']",0,"[u'nmod', u'nmod']","[u'CD', u'VBD']","[u'one', u'had']",i didnt purchase from amazon as a local retailer had one in stock for the same price
104,year,"[u'det', u'amod', u'compound']","[u'DT', u'JJ', u'NN']","[u'the', u'last', u'year']",0,"[u'conj', u'compound']","[u'NN', u'NN']","[u'stealth', u'model']",this stealth and the last year model have matched it in my opinion
105,manufacturer,[],[],[],0,[u'compound'],[u'NN'],[u'specific'],if you upgrade to windows youll realize that asuss drivers for windows dont all work and because your drivers are manufacturer specific you cant use generic drivers from intel
106,computer,[u'det'],[u'DT'],[u'this'],0,[u'nsubj'],[u'VBZ'],[u'crashes'],this computer regularly crashes chrome and freezes
107,power,[],[],[],0,[u'compound'],[u'NN'],[u'button'],starts folding closing by itself at about degrees incorrect sign printing on power button it is shifted to the left from center of button
108,customer,[],[],[],0,[u'compound'],[u'NNP'],[u'de'],couldnt get proper help from customer service de used to send it back
109,computer,[u'det'],[u'DT'],[u'this'],0,[u'dobj'],[u'VBD'],[u'sent'],i sent this computer back and ordered the same one with windows
110,,[],[],[],0,[],[],[],outside programs games etc
111,years,"[u'case', u'det']","[u'IN', u'DT']","[u'over', u'the']",0,[u'nmod'],[u'VBD'],[u'crashed'],over the years it has crashed a handful of times but even after those crashes i was back to using it with no problems in less than minutes
112,card,"[u'det', u'amod', u'compound']","[u'DT', u'JJ', u'NN']","[u'a', u'faulty', u'video']",0,[u'dobj'],[u'VBD'],[u'had'],the second one had the same issue and the third purchase had a faulty video card
113,customer,[],[],[],0,[u'compound'],[u'NN'],[u'service'],i will be calling customer service again and if they actually send the return box this time we will send it back
114,,[],[],[],1,[],[],[],looked great and sounded like it would be great but then i noticed it has to be sitting at a certain angle in order for it to stay connected with the keyboard
115,,[],[],[],1,[],[],[],also it would be nice if the laptop was a little slimmer lbs
116,screen,[],[],[],0,[u'nsubj'],[u'VBD'],[u'started'],screen started flickering last week
117,color,"[u'case', u'det', u'acl:relcl', u'det', u'amod']","[u'IN', u'DT', u'VB', u'DT', u'JJ']","[u'of', u'this', u'like', u'the', u'correct']",1,"[u'nmod', u'dobj']","[u'NN', u'VB']","[u'purchase', u'get']",updated on dec although i am happy with the purchase of this computer i would like amazon to please note that i did not get the correct color
118,product,[u'det'],[u'DT'],[u'the'],0,[u'dobj'],[u'VB'],[u'exchange'],its been less than a month but there isnt an option to exchange or return the product
119,years,"[u'nsubj', u'cop', u'advmod', u'det', u'amod', u'acl', u'case', u'det', u'amod']","[u'DT', u'VBZ', u'RB', u'DT', u'JJS', u'VBN', u'IN', u'DT', u'JJ']","[u'this', u'is', u'probably', u'the', u'slowest', u'released', u'in', u'the', u'last']",0,[u'nmod'],[u'VBN'],[u'released'],this is probably the slowest computer released in the last years
120,screen,"[u'nsubj', u'cop', u'compound', u'cc', u'conj']","[u'NN', u'VBD', u'NN', u'CC', u'JJ']","[u'laptop', u'was', u'touch', u'and', u'functional']",0,[],[],[],my last laptop was touch screen and this was not functional for me
121,year,"[u'amod', u'nmod']","[u'JJ', u'NN']","[u'last', u'college']",0,[u'nsubjpass'],[u'VBN'],[u'supposed'],was supposed to last for sons last year of college
122,,[],[],[],0,[],[],[],when i searched the net i found that another predator had the same issue reported
123,,[],[],[],1,[],[],[],at the moment it would be nice if matlab made an effort to make an extension for chrome seeing as there is one for the ipadphone already but thats not really a necessity
124,hour,"[u'case', u'advmod', u'advmod']","[u'IN', u'JJR', u'DT']","[u'after', u'less', u'an']",0,[u'nmod'],[u'VBG'],[u'working'],i received this netbook yesterday and it stopped working after less than an hour
125,years,"[u'case', u'amod']","[u'IN', u'JJ']","[u'for', u'last']",0,[u'nmod'],[u'VBN'],[u'ipad'],i have not used but ipad for last years
126,,[],[],[],0,[],[],[],there are less ports on the than the c
127,,[],[],[],0,[],[],[],this chromebook last hours browsing internet or email
128,,[],[],[],1,[],[],[],right now i dont have a lot of confidence in it ever working i bought what i thought would be a new notebook but it seems to me after all the problems that we have had to endure that it is not new but abused
129,screen,"[u'det', u'case', u'det']","[u'DT', u'IN', u'DT']","[u'the', u'across', u'the']",0,"[u'nsubj', u'nmod']","[u'VBD', u'VBG']","[u'had', u'running']",had to return it to the third party seller after a few days because the screen had a hairline running vertically across the screen
130,years,"[u'case', u'advmod']","[u'IN', u'JJR']","[u'for', u'less']",0,[u'nmod'],[u'DT'],[u'this'],had this for less than years
131,,[],[],[],0,[],[],[],they send emails then just hours later s nod another one stating that since they have had no response they consider the case closed
132,drive,[],[],[],0,"[u'nsubj', u'nsubj']","[u'JJ', u'VBZ']","[u'gb', u'has']",c drive is gb and d drive has gb which is less than gb
133,hardware,[u'nmod:poss'],[u'PRP$'],[u'its'],0,[u'nsubj'],[u'NN'],[u'par'],the form factor is less than that of a macbook air while its hardware is on par with it
134,,[],[],[],0,[],[],[],i spent several hours on the phone with dell technical support which recommended that i update drivers shouldnt this be automatic anyway
135,product,"[u'amod', u'compound']","[u'JJ', u'NN']","[u'last', u'acer']",0,[u'conj'],[u'NN'],[u'fist'],our fist and last acer product
136,,[],[],[],1,[],[],[],it would be great for an adult student child easy to use
137,screen,[],[],[],0,"[u'nmod:tmod', u'compound']","[u'VBD', u'NN']","[u'lasted', u'syndrome']",my last pc from hp lasted less than a year before succumbing to the deadly blue screen syndrome
138,price,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBP'],[u'i'],overall i still like the laptop but dont feel like it was worth the price
139,price,[u'nmod:poss'],[u'PRP$'],[u'their'],0,[u'nsubjpass'],[u'VBN'],[u'amazon'],i purchased this in december from the microsoft store as their price was several hundred dollars less then amazon
140,,[],[],[],0,[],[],[],i got hours with social media use and gaming
141,,[],[],[],0,[],[],[],a few days later i started having the same wireless issues
142,computer,"[u'nsubj', u'cop', u'det', u'nmod']","[u'DT', u'VBZ', u'DT', u'PRP']","[u'this', u'is', u'the', u'you']",0,[u'acl:relcl'],[u'NNS'],[u'media'],if all you need is email social media and web surfing then this is the computer for you
143,power,"[u'amod', u'compound', u'nmod']","[u'JJR', u'NN', u'NN']","[u'less', u'processing', u'one']",0,[u'dobj'],[u'VBZ'],[u'has'],the intel celeron has less processing power than the pentium one and two
144,,[],[],[],0,[],[],[],this chromebook is priced in the middle of the chromebook field but has a substantial solid feel without being noticeably any heavier that the samsung equivalent
