Cluster,Probability,Label,Sentence
9,0.377726349,0,computer was missing programs so it was not as advertised
34,0.999999997,1,i would love if device manufacturers would just be honest about their battery life estimates hopefully someone finds this information helpful
39,0.999999748,1,love the tablet itself and i dont mind the battery life although it would be nice if it lasted a bit longer have had to contact the seller however due to the keyboard not working properly
32,0.367380267,0,less than hours a week
23,0.999878507,0,ive been getting regular hr usage times between charges and it can get back to fully charged over the usb c ports in about hrs
16,0.999873226,0,heat on the bottom of the unit is considerably less noticeable when running on battery alone
0,0.991987071,0,for it just isnt worth the pros vs cons im going back to what ive used for years the intuos tablet by wacom
25,0.999998054,0,so i contacted dell technical support and was informed that the warranty on the product was already expired even though i purchased less than a month ago from amazon
15,0.999902838,0,this is the last time i ever buy an acer product
15,0.988047644,0,my two friends and i bought the same laptop last year
2,0.999676261,0,it will boot from usb or microsd but if you want memory or regular functionality youre sol
15,0.998571769,0,then last month the second battery died along with the charger so it was time to upgrade and after looking at all the options i choose the dell gaming laptop
2,1,0,whether we eventually expand storage via the sd card slot or use and external hdd is a question for later this year
15,0.849559059,0,computer isnt working after less than a month
39,0.997751648,0,but i figured maybe that was just a one off problem and then i bought this like years later and damn if the same thing doesnt happen
0,0.999623269,0,the mouse pad doesnt even feel as solid as the last generation model either
0,0.814373712,0,i dont think the problem is the computer but the connection since we had this with out last laptop too
9,0.328131732,0,the power cords were missing
30,0.867024559,0,display stopped working after less than six weeks
17,0.999978146,0,then they tell me i need an rma to send the product back which they cant do because conveniently the rma system is down and i should call back in wait for it days
5,0.999999996,0,i dont know why just less than month the system appear error have to restart error file is igdkmd
33,0.999718453,1,it would be nice if sammy or google would add a contrast slider as that would bring out the image
13,0.997190962,1,if i had to nitpick anything it would be nice if the trackpad was glass
27,0.999999999,0,well after a few seconds not minutes seconds the cpu just couldnt keep up and allowed the process to fall through dropping back down to cpu usage and then back to the idle amount at about
15,0.909457295,0,i believe a laptop should last longer that year and months
14,0.999999844,0,update june although i continue to have problems at the bookstore public wifi i plugged in a tp link usb wireless n adapter loaded the driver and viola
32,0.999998586,0,i purchased this as a gift for my year old daughters birthday she left to go on a trip and when she came home two weeks later and unboxed it she could not get it to stay turned on
17,0.415711235,0,diagnostic says missing a driver
17,0.566910102,0,this is the second computer i received from amazon with the same problem
25,0.861361962,0,the frame cracked after less than years of use
32,0.990162368,0,im a power user and have hand built all my previous desktop computers going back to
6,0.999921793,0,the camera and phone dont have drivers andthe bluetooth module is missing from the computer
33,0.972343649,0,this might be the last of the mac book pros that you can hook up to usbs
6,0.999990263,0,touchpad is standard in the standard spot off center so your wrists dont catch it while you type
17,0.998267307,0,however this laptop provides native support for windows meaning asus offers drivers to install windows properly
19,1,0,i wanted this chromebook as a second machine for starting and ending my day browsing and doing the cloud based work i have to do like accounting in wave managing social network based marketing ordering books searching for cover art reading manuscripts in submittable handling email etc
19,0.755308547,0,batteries last about hours if im just writing papers and listening to music
34,0.999999957,0,had a few issues at the start but customer service was on point with actual fluent english i may add
9,0.999120451,0,this works like a regular computer although theres no dvd drive but whens the last time i popped one in
5,0.992328035,0,i presume the missing gb comprise recovery partition files
33,0.99999967,0,i went into google play store last week to test a beta program that allows me to use android apps
15,0.982788392,0,my last windows product ever
23,0.999977162,0,i have had it now for two days and last night i used to play music to sleep to for nine hours on just the battery and when i woke up it was still going
0,0.926062067,0,keyboard the keyboard is about the same size as the standard mac keyboard
32,0.999991566,0,last week a defect started to appear on the upper left portion of the screen that has now progressed to a third of the screen blocked out and unusable
17,0.999226798,0,this is my th owned laptop the rest have been through work and i went back to dell for the extra because i have never had any issue with them and they do stand by their products
39,0.988708414,1,at first i thought it would be really nice to have snapseed but polarr has exceeded snapseed in functionality and it runs on chromeos
32,0.654778542,0,this laptop weighs next to nothing and the screen is about the thickness of a few pieces of cardstock
0,0.923507096,0,just a regular computer which will get your regular day to day work done
33,0.999968792,1,it would be nice to simply connect to any printer via the cloud rather than have to go through my mac
9,0.961167107,0,after less than one month usage the product had a hardware issue
19,1,0,im a college student and was looking for something for internet usage word docts social media etc
17,0.990360119,0,overall if this product actually worked correctly it might be worth getting
15,0.995272391,0,this is my last hp product i will spend my money on
39,0.975621847,1,no more hard disks no more top heavy rigs and hopefully no more random hardware issues
17,0.996871418,0,next time i will go with a proper pc manufacturer
33,0.925950488,0,or select the file and carefully drag the file from the source into the target folder
39,0.526746089,0,the power of a inch macbook pro for less
32,0.999961212,1,the wifi connection on it would be okay for a while but if i move to a different wifi server i would have to turn it off and turn it back on to connect
17,0.975820901,0,the package includes instructions with diagrams and hp offers support if you need extra help
15,0.999849328,0,i purchased this computer years ago with the expectation that this will be the last tablet i will need for to years minimum
0,0.980633717,0,having a touchscreen on a gaming laptop made even less sense to me in practice as using it even a few times immediately created smudges and fingerprints that i spent time wiping off and decided not to use again
23,0.999997755,0,the ibook needed to be pulled apart almost to the last screw to replace the hd while the macbook hd sits under a hatch below the battery compartment user swappable in five minutes
23,0.950494699,0,i will update this review in a few months to report back on how this baby is running but i expect no problems
3,0.994158184,0,i verified the description with same model on microsoft store and its indeed standard
23,0.45511093,0,less than one year and the battery is not charging
0,0.999993238,0,the touch screen regularly glitches leaving points where the screen acts as if i am interacting and will not let me touch anywhere else
33,0.967341432,0,note that some functions e g webex last i checked still dont support chrome os
39,0.581304413,0,dell is using usb c ports which will be the future standard
23,0.502645531,0,i did not and a few hours later the problem i had been having seems to have self resolved
39,0.50871118,0,for not even close to i from lenovo with less ram and less speed
32,0.991066529,0,but it started coming apart in less than a month
32,0.999828056,0,last week aug th computer would not turn on despite being charged for days
4,0.678861029,0,at this budget price you can expect the laptop to last about year
30,0.992399405,0,yet i run windows professional on a lenovo w purchased less than a year ago approx
25,0.999928849,0,i sent it to asus after dealing with all the problems and now even though i have had this computer less than a year they are refusing to honor the year warranty stating the part is not covered
39,0.999997166,1,it would be really nice if someone could provide a couple of links to a few different ram chips ssd drives for the empty bay and hdd drives if you choose to go that way with extra storage
4,0.955814017,0,it is the last model still in stores that is you can upgrade and repair
19,0.997321037,0,no bells and whistles but a solid computer for class work and surfing the net
25,0.802660009,0,i didnt purchase from amazon as a local retailer had one in stock for the same price
15,0.994315764,0,this stealth and the last year model have matched it in my opinion
9,0.999999661,0,if you upgrade to windows youll realize that asuss drivers for windows dont all work and because your drivers are manufacturer specific you cant use generic drivers from intel
8,0.780676702,0,this computer regularly crashes chrome and freezes
16,0.997881853,0,starts folding closing by itself at about degrees incorrect sign printing on power button it is shifted to the left from center of button
17,0.999924112,0,couldnt get proper help from customer service de used to send it back
17,0.935890663,0,i sent this computer back and ordered the same one with windows
14,0.26641426,0,outside programs games etc
15,0.554260911,0,over the years it has crashed a handful of times but even after those crashes i was back to using it with no problems in less than minutes
32,0.998080666,0,the second one had the same issue and the third purchase had a faulty video card
17,0.999966071,0,i will be calling customer service again and if they actually send the return box this time we will send it back
20,0.999999998,1,looked great and sounded like it would be great but then i noticed it has to be sitting at a certain angle in order for it to stay connected with the keyboard
39,0.935297107,1,also it would be nice if the laptop was a little slimmer lbs
32,0.998586532,0,screen started flickering last week
19,1,1,updated on dec although i am happy with the purchase of this computer i would like amazon to please note that i did not get the correct color
5,0.992022907,0,its been less than a month but there isnt an option to exchange or return the product
15,0.663751516,0,this is probably the slowest computer released in the last years
0,0.707702004,0,my last laptop was touch screen and this was not functional for me
15,0.996836686,0,was supposed to last for sons last year of college
0,0.708690479,0,when i searched the net i found that another predator had the same issue reported
39,0.999702932,1,at the moment it would be nice if matlab made an effort to make an extension for chrome seeing as there is one for the ipadphone already but thats not really a necessity
32,0.999909855,0,i received this netbook yesterday and it stopped working after less than an hour
23,0.565183841,0,i have not used but ipad for last years
39,0.197520559,0,there are less ports on the than the c
19,0.991501308,0,this chromebook last hours browsing internet or email
24,1,1,right now i dont have a lot of confidence in it ever working i bought what i thought would be a new notebook but it seems to me after all the problems that we have had to endure that it is not new but abused
25,0.999945364,0,had to return it to the third party seller after a few days because the screen had a hairline running vertically across the screen
17,0.999994773,0,they send emails then just hours later s nod another one stating that since they have had no response they consider the case closed
28,0.833820894,0,c drive is gb and d drive has gb which is less than gb
38,0.999950937,0,the form factor is less than that of a macbook air while its hardware is on par with it
17,0.999999921,0,i spent several hours on the phone with dell technical support which recommended that i update drivers shouldnt this be automatic anyway
15,0.952007724,0,our fist and last acer product
19,0.999840067,1,it would be great for an adult student child easy to use
15,0.909464374,0,my last pc from hp lasted less than a year before succumbing to the deadly blue screen syndrome
39,0.673905523,0,overall i still like the laptop but dont feel like it was worth the price
15,0.903360721,0,i purchased this in december from the microsoft store as their price was several hundred dollars less then amazon
19,0.991586828,0,i got hours with social media use and gaming
32,0.706764113,0,a few days later i started having the same wireless issues
19,0.999997753,0,if all you need is email social media and web surfing then this is the computer for you
28,0.997558714,0,the intel celeron has less processing power than the pentium one and two
0,0.996564216,0,this chromebook is priced in the middle of the chromebook field but has a substantial solid feel without being noticeably any heavier that the samsung equivalent
23,0.987781496,0,hopefully this battery can last me for years
39,0.999996282,0,overall the biggest pros are screen size in laptoptablet battery life sd and hdmi slot solid constructionthe above pros are why we did not go with a standard tablet
8,0.996975788,0,if you are a regular pc user like of us are this is all you need
8,0.998823099,0,it does not need to be updated or maintained since it is not a regular operating system
0,0.434208552,0,are you a regular user
23,0.969009131,0,lastly a power brick is included for charging the device
27,0.997978561,0,the second laptop worked well out of the box but driverfirmware issues seem to plague the device after a few weeks of usage
25,0.999725967,0,samsung will find any reason or excuse not to repair your product
5,1,0,one day he turned the laptop back again and received the following blue screen error message recoveryyour pc needs to be repairedthe boot configuration data file is missing some required information
25,0.999997803,0,ordered this refurbished from the amazon warehouse and the description did say damage on the bottom outside of the laptop
17,0.998077425,0,dell support advised to send it in to them and they will have it back within a few weeks
16,0.996993499,0,explaining that its the same yellow they always had but this laptop couldnt actually display yellow was daunting
6,0.997864536,0,i joined steam ad installed hollow knight and its been a blast all the way
17,0.999397021,0,i spent for day shipping and it arrived in less than hours after ordering
15,0.988863046,0,beware this lasted me for less than one year
7,0.808774899,0,battery can just hold less than three hours
25,0.999999989,0,update after owning this chromebook for months ive already replaced the power cord and last night the when opening the lid the hinges broke off the motherboard inside the machine
17,0.999983979,0,he has taken it to two separate computer repair companies at a cost of several hundred dollars to try to get it to run properly
25,0.874631262,0,the hinge broke after less than a year
32,0.980890146,0,went to use it this morning and it is at the same battery level prior to charging
8,0.914824402,0,the computer starts in less than seconds and apps launch instantaneously
4,0.378838956,0,overall the hardware seems solid
15,0.519638024,0,trust me now it has happened twice with me in last few years
32,0.999987368,0,i even did a reset of my computer to the time i opened the package to see if that would work no the computer turns off not goes to sleep but turns itself off whenever it wants to and then takes forever to turn back on
25,0.685249631,0,edit its been less than a year and ive had to send the laptop in again
32,0.999589925,0,last month the screen started to flicker and stripes appear in the middle
0,0.33217501,0,this is a big deal when entering financial numbers
33,0.881633905,0,now a few months later the computer cant handle anything
15,0.989101837,0,i built a windows desktop last year my work provides windows laptops
17,0.999869775,0,for each issue i spent no less than hours on the phone with dell warranty
0,0.999472175,0,intermittent video driver crashes that self correct in a second or two but for the price a solid work from anywhere laptop
39,0.863168657,1,it would be nice to have a fhd screen
0,0.791110419,0,this will last you for about or years minimum if you take care of it
34,0.9292425,1,vlc app which plays any format is suppose to be available this year hopefully
30,0.999999998,0,the power cord is a joke my electrical outlet is on the floor and i have a regular height desk if i dont place the tablet at the edge of the desk the power cord will not reach to charge
38,0.987920555,0,overall with the specs it has and the form factorweight its a very solid buy in my book
5,0.998548497,0,it is unclear where this screw came from but it appears to be missing from the heatsinks tiedown or harddrive bay
32,0.99988942,0,update after using less than one month the screen of the laptop cracked without being dropped
16,0.999982159,0,in the middle where there are no hinges the rubber area where the windows button is and the bezel above i found that the screen flexes when pressed from the inside or the outside of the laptop
16,0.999997316,0,when detaching the screen the device goes into tablet mode automatically and goes back into regular desktop mode when the screen gets re attached
9,0.99501028,0,just hope the next one last longer as i now have to download all of the software i have on this computer
5,0.999079453,0,i ordered at pm and it shipped at pm same day and got it within days with middle speed shipping
2,0.999999448,0,the gb nvidia card will run up to x for external monitors via its several digital video connectors
4,0.990537227,0,now if i want to buy the same product it is nearly double the price which puts it above my budget
27,0.999991397,0,couldnt beat the price and my company has a deal with microsoft so im all set up for less than
23,0.964434244,0,the battery life is less than desired
15,0.999480049,0,this toshiba is to replace a crappy samsung chromebook i got last year
32,0.990771928,0,on the second day of useage starting the computer from a shutdown computer froze
2,0.999999998,0,but one morning i woke up to a message saying chrome os is missing or damaged so i followed the steps to recover the os bought a gig samsung sd card needles to say it didnt work
32,0.452352776,0,ive had this computer for less than a week
23,0.994788399,0,the battery on this asus last forever
39,1,1,i heard that heat eventually damages the laptop so i did ended up turning the settings down to low on all games i thought that low settings were super bad but they really arent bad imo just so the laptop wouldnt get as hot and hopefully it last me a years
8,0.9999982,0,to print you will need a cloud printer or be in a home with any regular computer that is connected to a regular printer
15,0.989477795,0,this product did not even last one year
39,0.787422267,0,the repair facility would decrease screen repairs to but it didnt feel worth it to keep this chromebook with this overall issue
15,0.998789096,0,my husband was livid and told them that is the last hp product we have in this house
39,0.872064815,1,then i am good for a few years hopefully
23,0.99976828,0,battery life is less than hr for my system dell support says depending on use
15,0.709848137,0,have the same mac desktop for almost years and have had less problems with it then i had with this in three months
9,0.99186976,0,over the next few days i will continue to install and work with some aps and games and programs and see how it holds up
32,0.988081302,0,the computer seemed to work for about a week when i got it back but then it started to have the same issues
17,0.411297719,0,screws would just randomly go missing and here it is just over a year later and i already have to replace it
39,0.970850476,0,following discussions on the acer forum and from experience with of these in a school where i work i determined the problem to be the ribbon cable that plugs into the back of the screen
23,0.999985722,0,if that keeps up the battery will last over hours just surfing the internet contributing to forums and writing reviews in fact hovering over the battery icon after hours of use it says hrs mins remaining
14,0.83770557,0,he hooks it up to the big screen tv daily he uses it
0,0.886389554,0,it feels solid in hands and relatively lightweight
17,0.99872657,0,i will probably call their support number and see if im missing something
0,0.933749906,0,im not buying anything with a resolution less than p period
32,0.798997992,0,about half an hour later the laptop came back to life
17,0.999996167,0,the last option was to try to reset windows something that the computer itself recommended to get it back to factory settings
39,0.437352422,1,it would be more appropriate to have windows pro on this box
15,0.982040508,0,bought chromebooks last year this was the third
25,0.981231185,0,lastly they stated that i needed to start the computer on battery power and boot into windows
23,0.948127382,0,one last issue is that the plug takes up sockets when you use a power strip or ups
33,0.999483843,1,i still have a lot to learn to maximize my usage i wish there was one place to look for relevant information
31,0.99545528,0,i received my replacement laptop and downloaded even less onto this computer
21,1,1,performance it would be nice to have skylake or even broadwell under the hood for what it retails for i wouldnt pay retail or even close to it for this setup nm vs nm physical footprint should see about an hour increase in battery life yada yada but for my purposes no significant difference other than the psychological win
17,0.630170281,0,my package took less than a day to fulfill
9,0.999943436,0,the ram coupled with the ssd though and you get a machine that boots in seconds opens apps in less than a second and has a sizeable amount of on board storage
7,0.999999997,0,there doesnt seem to be a way to load anti virus on it so i cant tell if that is the issue but it just crashed for about the three hundredth time in the last three months and lost part of a story i was working on
39,0.999999999,1,pros powerful processor small and compact battery life is aprox hours with browsing excel video streaming price paid for the overall package was fair quality by seller was top notch despite being a refurbished piececons it would be great if conversion to tablet can happen like the s twist
15,0.427183506,0,this asus model has a lot to like even if its missing a couple things
0,0.999258166,0,go try to drag something from your screen to the desktop
23,0.998503076,0,it can also be folded back to a wrap around position for drawing to give that extra battery life
4,0.999592497,1,if you need even a moderate amount of memory i would suggest another product
19,0.999999987,0,basic web surfing emails technology guru social media enthusiast business professional programmeri would recommend this to a friend
19,1,1,all in all if i only had to have one computer i would prefer the mac but like i said i am using both machines every day at this point and use them both equally for writing email and web browsing
23,0.999989842,0,it will do school work and the battery last all day without having to charge it
39,1,1,however if you want a what could be improved in later models list a x resolution would be welcomed while gb of ram gets the job done it would be nice to see gb an inch screen could easily fit in the same overall space and would make this an even better comparable to small laptops better battery life would always be welcome a second full usb port on the other side of the keyboard would largely improve the laptop utility
15,0.999999998,0,the is the second acer computer i purchased in the last three months but i guess that means nothing to acer computer as well as amazon this will be the last big ticket item i buy from amazon
32,0.777491996,0,i bough this computer in june and it stopped working last month
39,0.999197159,1,weakest points of it would be the small keyboard ans screen but is a great lil working machine if you have an online life
8,0.732582834,0,no this system works seamlessly with the files and i can attach regular attachments
32,0.536126255,0,blue screen of death during initial setup
25,0.840373961,0,of course its outside the warranty and theres nothing they can do
37,1,0,the science of making keyboards is no mystery and there is no excuse for making faulty keyboards for any computing device it tells a lot about the manufacturer selling this device
15,0.984480061,0,bought my son one for college and less then a year started having charging issues
19,0.915813394,0,streaming itll last you about hours if you cast the screen to a tv like i do
25,0.999765678,0,with less than a month to use the screen damaged now i do not know what can be done because im not in the usa
15,0.979228627,0,this is my second and last acer product
15,0.978532488,0,i purchased this from amazon less than a year ago and its having issues already
4,0.991164621,0,do not buy a refurbished macbook for the double of the price with the same hardware
39,0.951102277,0,unless im really missing the boat this is not a touch screen
5,0.993532964,0,when i did the screen now says chrome os is missing or damaged
30,0.999997424,0,last week it began to show difficulties turning on i clicked the power button and nothing happened but after some time clicking on the button eventually it turned on
15,0.435273019,0,i have had a succession of windows laptops over the last years
15,0.940177827,0,update this laptop lasted less than two years
17,0.40443942,0,what a gift card for the is less than sending it back
23,0.27790389,0,lastly the batteries
32,0.999283227,0,thought was driver issue and updated them but continues to boot when it wants not when i depress power button
39,0.513895529,0,it opens crazytalk animator in seconds and saves my less than frame file in seconds
15,0.999944377,0,i bought this after using chromebooks for the last two years because i wanted to try a windows machine with chromebook hardware specs
21,1,1,performance it would be nice to have skylake or even broadwell under the hood for what it retails for i wouldnt pay retail or even close to it for this setup nm vs nm physical footprint should see about an hour increase in battery life yada yada but for my purposes no significant difference other than the psychological win
25,0.889466892,0,starting in mid february it does not start without power plugged in
39,0.993458216,0,in germany there is one trader offering it for but in back order and in the united states you can not find it for less than and even up to almost since acer does not offer it to the end consumer nor included it
0,0.966278574,0,if i had any regular need for a windows computer i would have to return this item
27,1,0,after a months worth of review reading spec study forum trolling and expert advice i purchased the gig version of this drive for my operating system and programs several months ago
23,0.765416949,0,lastly you can up the speed of the fans by quite a bit in the rog gaming center
39,0.999999945,1,its nice that this model comes equipped with it gb ram keeps things moving i intel processor it would be nice if it were the i or i but this is not the latest model made by asus ac extremely fast wifi capabilities
25,0.996110282,0,we ordered this for my son and months later it is not functional and there is no coverage under the limited warranty
2,0.678053206,0,my next concern was the limited drive space
30,0.999999924,0,last night i flipped it into a tablet watched a movie in bed and had six hours of battery remaining after the movie ended
23,0.774108804,0,times this thing froze in the span of less than hours
32,0.992336171,0,less than three weeks later the second machine developed a crack in the screen
25,0.977812566,0,last i contacted the warranty company which i paid extra to
17,0.998807938,0,why have i now spent hours on something i will have to send back
23,0.996658784,0,the battery last about hours it says so on the description but it may be a turn off for some
39,0.895698315,0,the missing feature that caught me by surprise was the lack of a kensington security slot
14,0.999999572,0,on the minus side it has no internal cddvd drive telephone port or ethernet port so i can not fax or use my cds until i buy these adaptors
15,0.474143459,0,i shipped one last year without any problems
32,0.992339695,0,put in second drive from previous laptop which suffered flaming heat death
39,0.986986032,1,if i could attach a dvd play it would be great because i wanted to use the devise with my spanish language discs
4,0.998779338,0,overall this product is worth the price
15,0.994643416,0,the last computer that i owned was purchased in
24,0.999971894,1,so i can view the remote desktop at full resolution but its a bit small it would be nice to have one more inch of screen real estate to
15,0.962915532,0,last time i purchase a computer from amazon
4,0.995581242,0,bestbuy could not offer me this product at the the less than price i paid
15,0.976917841,0,im no computer expert but i think a laptops motherboard should last longer than months
17,0.999993035,0,this time i spent probably hours clicking everything i could read ebook online nothing hopfully the seller will give me all my money back
33,0.99999993,1,i wont buy for this purpose but it would be great for web surfing as long as you dont need to save or download anything
23,0.999514754,0,lastly six hours of battery life my foot
17,0.414627861,0,the sticker on the back of the computer is just blackish grey
8,0.961990483,0,since both are google products theres no excuse for this
19,1,1,updated on dec although i am happy with the purchase of this computer i would like amazon to please note that i did not get the correct color
23,0.99999623,0,i did not get a chance to test unplugged gaming time but i would assume it would be around hour or less
38,0.999999997,1,i originally thought it would be neat to have a solid state drive for fast start times and touch screen cool factor in my work computer which does primarily excel work and coding
5,0.99999999,0,one month out of warranty and i now have a operating system damaged or missing message at startup
25,0.99656629,0,this asus unit is at the login screen after booting within seconds or less
30,0.977926703,0,there are some limitations of living inside the chrome world but they are less and less every year
39,0.918792287,0,above alli cherish this purchase experience and the laptopwhich will accompany my next years college life
15,0.999997739,0,i purchased this item for my daughter for her birthday less than a year ago and as of last month the volume is not working correctly
25,0.987959508,0,they called within a week and said that the damaged was caused by the consumer not a flaw in the computer and they could fix it for unreal as we paid less that for the computer
39,0.999791041,1,while not an essential part of any laptop it would be nice if i could see the keys better at night
25,0.999999428,0,just after the warranty expired the display went out and it can not be repaired for less than the cost of the computer so in the trash it goes
9,0.999551253,0,one for system one for recovery one for the os programs and lastly a th for user data
6,0.999868563,0,its missing the sd card slot and there is a lot of damage to the structure itself
4,0.971254582,0,did not come with shrink wrap over the screen as my last one did and that one was listed as an amazon warehouse deal refurbished one
17,0.997146524,0,turned out it was this specific laptops onoff wireless switch that needed to be manually turned back on
23,0.993750506,0,and the customer support in china tell me it usually last hours depending on how you use it
15,0.989385896,0,what i received was last years model third generation in the same computer
32,0.959170022,0,less than a year and i have to take it in for the connection between the keyboard and the screen
25,0.964784856,0,hardware this thing is a fingerprint magnet both outside and inside
25,0.374704122,0,less than one year and i had to change the screen and battery
23,0.999999991,0,the battery life is the biggest failing since during regular use this laptop seems to last around two hours on battery
39,0.938086775,0,five stars for pricefeature value less some for the lack of keyboard indicator lights and optical drive opener problem
25,0.384640885,0,stated for hours i get less than hours
33,0.886159563,0,because it doesnt have a solid state drive in it windows ten does play nicer with it
25,0.965231555,0,then the problems started and asus tech support and warranty repair turned out to be a hollow shell
19,0.999998982,0,this way he if he doesnt need the weight or power of his macbook he can just use this out and about or for social media stuff while were watching tv
39,0.997031079,1,it would be nice to have the number pad but it would take up way too much space and would not be feasible on the air
32,0.96601376,0,less than days later the screen started having colored line across it
23,0.780735105,0,secondly i wanted something that would last some hours before needing to be recharged
0,0.992409371,0,likewise this apu with all of its integrated graphics capabilities feels like a big waste of silicon and transistors that cant be utilized when the tdp is limited to watts
17,0.999908103,0,ive used dell latitude laptops that always include a standard year warranty and they are solidly built and refuse to die except for the batteries that need replacing
23,0.99739948,0,advertising a hour battery life and delivering less than a third of that
17,0.999861337,0,but after a couple calls with technical support they took the computer back and are replacing it
25,0.99621297,0,we looked up warranty info and it appears its serviced outside the us
15,0.999362987,0,this is my th chromebook and nd from samsung that ive purchased in the last years
5,0.997705253,0,the readwrite is a lot faster and what that means for you is less twirling beach balls and speedier application launching and file saving
17,0.999972204,0,within that same hour i put it back in its box and i returned it and got my money back
28,0.999981335,0,the second biggest problem is the ssd solid state drive
25,0.999848399,0,once the laptop was sent in dell informed that the screen damage was customer induced and wants to charge canadian dollars a third of the cost of the laptop
0,0.979905709,0,when i bought it i did not realize that it was not windows based and i find it wont run any of the programs i use regularly
5,0.997158229,0,by day i started receiving a drive error message no less than times a day
23,0.999714256,0,the battery seems to last just under four hours
4,0.999251207,0,i purchased this laptop after watching lon seidmans review of this product and subsequent review of this product on here
23,0.992133858,0,if used continuously it can last for about five to six hours
15,0.762403806,0,i bought this computer when my last one stopped working
33,0.996224384,0,i like the tb and ram because i have thousands of photos and videos that i regularly take and access
39,0.999985225,1,i feel like the navy one looks like a macbook dupe overall super impressed and hopefully the battery lasts a long time i bought this for college needs
33,0.999999845,1,it would be so nice to have a way to access them without going through any workarounds but no google didnt support its own program on this otherwise delightful little netbook
15,0.998813692,0,the last one that i bought was another brand
23,0.119288145,0,also weights less than lbs
8,0.999999704,0,they work technically they work but its hit or miss in terms of does an app properly support tablet mode or is it a phone app stretched across the screen
2,0.999999992,0,sd cards inserted into the laptops card reader do not sit flush to the unit making carrying additional storage less convenient
37,0.999999999,0,if you want to save a bit of cash go with the regular non pro series and just lose mbps write speed and save
22,0.999999998,1,love the color its a transparency color hopefully it can support my essays
28,0.99710207,0,comparable to the njk accept this one has no cd drive and the cpu has less threads njk has this one has but this is also a lot thinner and lighter then the n
2,0.670797074,0,lastly theres no cddvd slot
7,0.987983019,0,the battery does seem to last about house and charges in a flash
23,0.990626365,0,the battery is also internal and must be replaced the same way
4,0.978755443,0,i would warn anyone purchasing any asus computers that they do not last
15,0.874243816,0,that computer is retired no faster than this asus and less than hours on a charge
39,0.445360948,0,with less than dollars i give stars to this hp model
0,0.65963559,0,thought it was a regular computer
30,0.961053087,0,bought this device used it for less than a week and now it wont power on
15,0.986873005,0,my last computer a dell lasted for years
10,0.99999876,1,it doesnt have all the bells whistles of other laptops on the market but for the price quality i hope this lasts for quite some time
39,0.991585545,1,it would be a great laptop if it worked or the company actually provided service
4,0.999999963,0,i purchased mine from walmart in my city for less than i could get it online but its worth the price i see it advertised on amazon or anywhere else
39,1,1,i wanted to run linux on it figured it would be no big deal but it uses a bit uefi boot loader on a bit cpu architecture which is ridiculous to try and change the operating system since there is virtually no linux distros that support it its also running a bit version of windows why have a bit cpu and put a bit os on it the only way to boot linux is to get ahold of a bit uefi boot loader put in the efiboot folder on your install medium then when it freezes on a command line while booting cd into the drivers
23,0.999999417,0,battery can last for several hours as advised but that number gets reduced if you use it on maximum performance mode of course
25,0.999028709,1,my only worry is that this freezing thing will get worse at the year mark but im trying my best to treat it well and hopefully this computer can last at least years
30,0.999990522,1,i purchased the extended year warranty for added piece of mind but hopefully i wont need to use it
17,0.999949592,0,never the less it could be but i have properly working laptop that has fallen apart from its monitor and can not be put back no matter what
8,0.999941304,0,i setup my chromebook to allow my family members to login as regular users
17,0.921355339,0,might be the last considering the support
