,Sentence,Class
102,no bells and whistles but a solid computer for class work and surfing the net,0
103,i didnt purchase from amazon as a local retailer had one in stock for the same price,0
104,this stealth and the last year model have matched it in my opinion,0
105,if you upgrade to windows youll realize that asuss drivers for windows dont all work and because your drivers are manufacturer specific you cant use generic drivers from intel,0
106,this computer regularly crashes chrome and freezes,0
107,starts folding closing by itself at about degrees incorrect sign printing on power button it is shifted to the left from center of button,0
108,couldnt get proper help from customer service de used to send it back,0
109,i sent this computer back and ordered the same one with windows,0
110,outside programs games etc,0
111,over the years it has crashed a handful of times but even after those crashes i was back to using it with no problems in less than minutes,0
112,the second one had the same issue and the third purchase had a faulty video card,0
113,i will be calling customer service again and if they actually send the return box this time we will send it back,0
114,looked great and sounded like it would be great but then i noticed it has to be sitting at a certain angle in order for it to stay connected with the keyboard,1
115,also it would be nice if the laptop was a little slimmer lbs,1
116,screen started flickering last week,0
117,updated on dec although i am happy with the purchase of this computer i would like amazon to please note that i did not get the correct color,1
118,its been less than a month but there isnt an option to exchange or return the product,0
119,this is probably the slowest computer released in the last years,0
120,my last laptop was touch screen and this was not functional for me,0
121,was supposed to last for sons last year of college,0
122,when i searched the net i found that another predator had the same issue reported,0
123,at the moment it would be nice if matlab made an effort to make an extension for chrome seeing as there is one for the ipadphone already but thats not really a necessity,1
124,i received this netbook yesterday and it stopped working after less than an hour,0
125,i have not used but ipad for last years,0
126,there are less ports on the than the c,0
127,this chromebook last hours browsing internet or email,0
128,right now i dont have a lot of confidence in it ever working i bought what i thought would be a new notebook but it seems to me after all the problems that we have had to endure that it is not new but abused,1
129,had to return it to the third party seller after a few days because the screen had a hairline running vertically across the screen,0
130,had this for less than years,0
131,they send emails then just hours later s nod another one stating that since they have had no response they consider the case closed,0
132,c drive is gb and d drive has gb which is less than gb,0
133,the form factor is less than that of a macbook air while its hardware is on par with it,0
134,i spent several hours on the phone with dell technical support which recommended that i update drivers shouldnt this be automatic anyway,0
135,our fist and last acer product,0
136,it would be great for an adult student child easy to use,1
137,my last pc from hp lasted less than a year before succumbing to the deadly blue screen syndrome,0
138,overall i still like the laptop but dont feel like it was worth the price,0
139,i purchased this in december from the microsoft store as their price was several hundred dollars less then amazon,0
140,i got hours with social media use and gaming,0
141,a few days later i started having the same wireless issues,0
142,if all you need is email social media and web surfing then this is the computer for you,0
143,the intel celeron has less processing power than the pentium one and two,0
144,this chromebook is priced in the middle of the chromebook field but has a substantial solid feel without being noticeably any heavier that the samsung equivalent,0
145,hopefully this battery can last me for years,0
146,overall the biggest pros are screen size in laptoptablet battery life sd and hdmi slot solid constructionthe above pros are why we did not go with a standard tablet,0
147,if you are a regular pc user like of us are this is all you need,0
148,it does not need to be updated or maintained since it is not a regular operating system,0
149,are you a regular user,0
150,lastly a power brick is included for charging the device,0
151,the second laptop worked well out of the box but driverfirmware issues seem to plague the device after a few weeks of usage,0
152,samsung will find any reason or excuse not to repair your product,0
153,one day he turned the laptop back again and received the following blue screen error message recoveryyour pc needs to be repairedthe boot configuration data file is missing some required information,0
154,ordered this refurbished from the amazon warehouse and the description did say damage on the bottom outside of the laptop,0
155,dell support advised to send it in to them and they will have it back within a few weeks,0
156,explaining that its the same yellow they always had but this laptop couldnt actually display yellow was daunting,0
157,i joined steam ad installed hollow knight and its been a blast all the way,0
158,i spent for day shipping and it arrived in less than hours after ordering,0
159,beware this lasted me for less than one year,0
160,battery can just hold less than three hours,0
161,update after owning this chromebook for months ive already replaced the power cord and last night the when opening the lid the hinges broke off the motherboard inside the machine,0
162,he has taken it to two separate computer repair companies at a cost of several hundred dollars to try to get it to run properly,0
163,the hinge broke after less than a year,0
164,went to use it this morning and it is at the same battery level prior to charging,0
165,the computer starts in less than seconds and apps launch instantaneously,0
166,overall the hardware seems solid,0
167,trust me now it has happened twice with me in last few years,0
168,i even did a reset of my computer to the time i opened the package to see if that would work no the computer turns off not goes to sleep but turns itself off whenever it wants to and then takes forever to turn back on,0
169,edit its been less than a year and ive had to send the laptop in again,0
170,last month the screen started to flicker and stripes appear in the middle,0
171,this is a big deal when entering financial numbers,0
172,now a few months later the computer cant handle anything,0
173,i built a windows desktop last year my work provides windows laptops,0
174,for each issue i spent no less than hours on the phone with dell warranty,0
175,intermittent video driver crashes that self correct in a second or two but for the price a solid work from anywhere laptop,0
176,it would be nice to have a fhd screen,1
177,this will last you for about or years minimum if you take care of it,0
178,vlc app which plays any format is suppose to be available this year hopefully,1
179,the power cord is a joke my electrical outlet is on the floor and i have a regular height desk if i dont place the tablet at the edge of the desk the power cord will not reach to charge,0
180,overall with the specs it has and the form factorweight its a very solid buy in my book,0
181,it is unclear where this screw came from but it appears to be missing from the heatsinks tiedown or harddrive bay,0
182,update after using less than one month the screen of the laptop cracked without being dropped,0
183,in the middle where there are no hinges the rubber area where the windows button is and the bezel above i found that the screen flexes when pressed from the inside or the outside of the laptop,0
184,when detaching the screen the device goes into tablet mode automatically and goes back into regular desktop mode when the screen gets re attached,0
185,just hope the next one last longer as i now have to download all of the software i have on this computer,0
186,i ordered at pm and it shipped at pm same day and got it within days with middle speed shipping,0
187,the gb nvidia card will run up to x for external monitors via its several digital video connectors,0
188,now if i want to buy the same product it is nearly double the price which puts it above my budget,0
189,couldnt beat the price and my company has a deal with microsoft so im all set up for less than,0
190,the battery life is less than desired,0
191,this toshiba is to replace a crappy samsung chromebook i got last year,0
192,on the second day of useage starting the computer from a shutdown computer froze,0
193,but one morning i woke up to a message saying chrome os is missing or damaged so i followed the steps to recover the os bought a gig samsung sd card needles to say it didnt work,0
194,ive had this computer for less than a week,0
195,the battery on this asus last forever,0
196,i heard that heat eventually damages the laptop so i did ended up turning the settings down to low on all games i thought that low settings were super bad but they really arent bad imo just so the laptop wouldnt get as hot and hopefully it last me a years,1
197,to print you will need a cloud printer or be in a home with any regular computer that is connected to a regular printer,0
198,this product did not even last one year,0
199,the repair facility would decrease screen repairs to but it didnt feel worth it to keep this chromebook with this overall issue,0
200,my husband was livid and told them that is the last hp product we have in this house,0
201,then i am good for a few years hopefully,1
202,battery life is less than hr for my system dell support says depending on use,0
203,have the same mac desktop for almost years and have had less problems with it then i had with this in three months,0
204,over the next few days i will continue to install and work with some aps and games and programs and see how it holds up,0
205,the computer seemed to work for about a week when i got it back but then it started to have the same issues,0
206,screws would just randomly go missing and here it is just over a year later and i already have to replace it,0
207,following discussions on the acer forum and from experience with of these in a school where i work i determined the problem to be the ribbon cable that plugs into the back of the screen,0
208,if that keeps up the battery will last over hours just surfing the internet contributing to forums and writing reviews in fact hovering over the battery icon after hours of use it says hrs mins remaining,0
209,he hooks it up to the big screen tv daily he uses it,0
210,it feels solid in hands and relatively lightweight,0
211,i will probably call their support number and see if im missing something,0
212,im not buying anything with a resolution less than p period,0
213,about half an hour later the laptop came back to life,0
214,the last option was to try to reset windows something that the computer itself recommended to get it back to factory settings,0
215,it would be more appropriate to have windows pro on this box,1
216,bought chromebooks last year this was the third,0
217,lastly they stated that i needed to start the computer on battery power and boot into windows,0
218,one last issue is that the plug takes up sockets when you use a power strip or ups,0
219,i still have a lot to learn to maximize my usage i wish there was one place to look for relevant information,1
220,i received my replacement laptop and downloaded even less onto this computer,0
221,performance it would be nice to have skylake or even broadwell under the hood for what it retails for i wouldnt pay retail or even close to it for this setup nm vs nm physical footprint should see about an hour increase in battery life yada yada but for my purposes no significant difference other than the psychological win,1
222,my package took less than a day to fulfill,0
223,the ram coupled with the ssd though and you get a machine that boots in seconds opens apps in less than a second and has a sizeable amount of on board storage,0
224,there doesnt seem to be a way to load anti virus on it so i cant tell if that is the issue but it just crashed for about the three hundredth time in the last three months and lost part of a story i was working on,0
225,pros powerful processor small and compact battery life is aprox hours with browsing excel video streaming price paid for the overall package was fair quality by seller was top notch despite being a refurbished piececons it would be great if conversion to tablet can happen like the s twist,1
226,this asus model has a lot to like even if its missing a couple things,0
227,go try to drag something from your screen to the desktop,0
228,it can also be folded back to a wrap around position for drawing to give that extra battery life,0
229,if you need even a moderate amount of memory i would suggest another product,1
230,basic web surfing emails technology guru social media enthusiast business professional programmeri would recommend this to a friend,0
231,all in all if i only had to have one computer i would prefer the mac but like i said i am using both machines every day at this point and use them both equally for writing email and web browsing,1
232,it will do school work and the battery last all day without having to charge it,0
233,less than hours,0
234,however if you want a what could be improved in later models list a x resolution would be welcomed while gb of ram gets the job done it would be nice to see gb an inch screen could easily fit in the same overall space and would make this an even better comparable to small laptops better battery life would always be welcome a second full usb port on the other side of the keyboard would largely improve the laptop utility,1
235,the is the second acer computer i purchased in the last three months but i guess that means nothing to acer computer as well as amazon this will be the last big ticket item i buy from amazon,0
236,i bough this computer in june and it stopped working last month,0
237,weakest points of it would be the small keyboard ans screen but is a great lil working machine if you have an online life,1
238,no this system works seamlessly with the files and i can attach regular attachments,0
239,blue screen of death during initial setup,0
240,of course its outside the warranty and theres nothing they can do,0
241,the science of making keyboards is no mystery and there is no excuse for making faulty keyboards for any computing device it tells a lot about the manufacturer selling this device,0
242,bought my son one for college and less then a year started having charging issues,0
243,streaming itll last you about hours if you cast the screen to a tv like i do,0
244,with less than a month to use the screen damaged now i do not know what can be done because im not in the usa,0
245,this is my second and last acer product,0
246,i purchased this from amazon less than a year ago and its having issues already,0
247,do not buy a refurbished macbook for the double of the price with the same hardware,0
248,unless im really missing the boat this is not a touch screen,0
249,when i did the screen now says chrome os is missing or damaged,0
250,last week it began to show difficulties turning on i clicked the power button and nothing happened but after some time clicking on the button eventually it turned on,0
251,i have had a succession of windows laptops over the last years,0
252,update this laptop lasted less than two years,0
253,what a gift card for the is less than sending it back,0
254,lastly the batteries,0
255,thought was driver issue and updated them but continues to boot when it wants not when i depress power button,0
256,it opens crazytalk animator in seconds and saves my less than frame file in seconds,0
257,i bought this after using chromebooks for the last two years because i wanted to try a windows machine with chromebook hardware specs,0
259,starting in mid february it does not start without power plugged in,0
260,in germany there is one trader offering it for but in back order and in the united states you can not find it for less than and even up to almost since acer does not offer it to the end consumer nor included it,0
261,if i had any regular need for a windows computer i would have to return this item,0
262,after a months worth of review reading spec study forum trolling and expert advice i purchased the gig version of this drive for my operating system and programs several months ago,0
263,lastly you can up the speed of the fans by quite a bit in the rog gaming center,0
264,its nice that this model comes equipped with it gb ram keeps things moving i intel processor it would be nice if it were the i or i but this is not the latest model made by asus ac extremely fast wifi capabilities,1
265,we ordered this for my son and months later it is not functional and there is no coverage under the limited warranty,0
266,my next concern was the limited drive space,0
267,last night i flipped it into a tablet watched a movie in bed and had six hours of battery remaining after the movie ended,0
268,times this thing froze in the span of less than hours,0
269,less than three weeks later the second machine developed a crack in the screen,0
270,last i contacted the warranty company which i paid extra to,0
271,why have i now spent hours on something i will have to send back,0
272,the battery last about hours it says so on the description but it may be a turn off for some,0
273,the missing feature that caught me by surprise was the lack of a kensington security slot,0
274,on the minus side it has no internal cddvd drive telephone port or ethernet port so i can not fax or use my cds until i buy these adaptors,0
275,i shipped one last year without any problems,0
276,put in second drive from previous laptop which suffered flaming heat death,0
277,if i could attach a dvd play it would be great because i wanted to use the devise with my spanish language discs,1
278,overall this product is worth the price,0
279,the last computer that i owned was purchased in,0
280,so i can view the remote desktop at full resolution but its a bit small it would be nice to have one more inch of screen real estate to,1
281,last time i purchase a computer from amazon,0
282,bestbuy could not offer me this product at the the less than price i paid,0
283,im no computer expert but i think a laptops motherboard should last longer than months,0
284,this time i spent probably hours clicking everything i could read ebook online nothing hopfully the seller will give me all my money back,0
285,i wont buy for this purpose but it would be great for web surfing as long as you dont need to save or download anything,1
286,lastly six hours of battery life my foot,0
287,the sticker on the back of the computer is just blackish grey,0
288,since both are google products theres no excuse for this,0
290,i did not get a chance to test unplugged gaming time but i would assume it would be around hour or less,0
291,i originally thought it would be neat to have a solid state drive for fast start times and touch screen cool factor in my work computer which does primarily excel work and coding,1
292,one month out of warranty and i now have a operating system damaged or missing message at startup,0
293,this asus unit is at the login screen after booting within seconds or less,0
294,there are some limitations of living inside the chrome world but they are less and less every year,0
295,above alli cherish this purchase experience and the laptopwhich will accompany my next years college life,0
296,i purchased this item for my daughter for her birthday less than a year ago and as of last month the volume is not working correctly,0
297,they called within a week and said that the damaged was caused by the consumer not a flaw in the computer and they could fix it for unreal as we paid less that for the computer,0
298,while not an essential part of any laptop it would be nice if i could see the keys better at night,1
299,just after the warranty expired the display went out and it can not be repaired for less than the cost of the computer so in the trash it goes,0
300,one for system one for recovery one for the os programs and lastly a th for user data,0
301,its missing the sd card slot and there is a lot of damage to the structure itself,0
302,did not come with shrink wrap over the screen as my last one did and that one was listed as an amazon warehouse deal refurbished one,0
303,turned out it was this specific laptops onoff wireless switch that needed to be manually turned back on,0
304,and the customer support in china tell me it usually last hours depending on how you use it,0
305,what i received was last years model third generation in the same computer,0
306,less than a year and i have to take it in for the connection between the keyboard and the screen,0
307,hardware this thing is a fingerprint magnet both outside and inside,0
308,less than one year and i had to change the screen and battery,0
309,the battery life is the biggest failing since during regular use this laptop seems to last around two hours on battery,0
310,five stars for pricefeature value less some for the lack of keyboard indicator lights and optical drive opener problem,0
311,stated for hours i get less than hours,0
312,because it doesnt have a solid state drive in it windows ten does play nicer with it,0
313,then the problems started and asus tech support and warranty repair turned out to be a hollow shell,0
314,this way he if he doesnt need the weight or power of his macbook he can just use this out and about or for social media stuff while were watching tv,0
315,it would be nice to have the number pad but it would take up way too much space and would not be feasible on the air,1
316,less than days later the screen started having colored line across it,0
317,secondly i wanted something that would last some hours before needing to be recharged,0
318,likewise this apu with all of its integrated graphics capabilities feels like a big waste of silicon and transistors that cant be utilized when the tdp is limited to watts,0
319,ive used dell latitude laptops that always include a standard year warranty and they are solidly built and refuse to die except for the batteries that need replacing,0
320,advertising a hour battery life and delivering less than a third of that,0
321,but after a couple calls with technical support they took the computer back and are replacing it,0
322,we looked up warranty info and it appears its serviced outside the us,0
323,this is my th chromebook and nd from samsung that ive purchased in the last years,0
324,the readwrite is a lot faster and what that means for you is less twirling beach balls and speedier application launching and file saving,0
325,within that same hour i put it back in its box and i returned it and got my money back,0
326,the second biggest problem is the ssd solid state drive,0
327,once the laptop was sent in dell informed that the screen damage was customer induced and wants to charge canadian dollars a third of the cost of the laptop,0
328,when i bought it i did not realize that it was not windows based and i find it wont run any of the programs i use regularly,0
329,by day i started receiving a drive error message no less than times a day,0
330,the battery seems to last just under four hours,0
331,i purchased this laptop after watching lon seidmans review of this product and subsequent review of this product on here,0
332,if used continuously it can last for about five to six hours,0
333,i bought this computer when my last one stopped working,0
334,i like the tb and ram because i have thousands of photos and videos that i regularly take and access,0
335,i feel like the navy one looks like a macbook dupe overall super impressed and hopefully the battery lasts a long time i bought this for college needs,1
336,it would be so nice to have a way to access them without going through any workarounds but no google didnt support its own program on this otherwise delightful little netbook,1
337,the last one that i bought was another brand,0
338,also weights less than lbs,0
339,they work technically they work but its hit or miss in terms of does an app properly support tablet mode or is it a phone app stretched across the screen,0
340,sd cards inserted into the laptops card reader do not sit flush to the unit making carrying additional storage less convenient,0
341,if you want to save a bit of cash go with the regular non pro series and just lose mbps write speed and save,0
342,love the color its a transparency color hopefully it can support my essays,1
343,comparable to the njk accept this one has no cd drive and the cpu has less threads njk has this one has but this is also a lot thinner and lighter then the n,0
344,lastly theres no cddvd slot,0
345,the battery does seem to last about house and charges in a flash,0
346,the battery is also internal and must be replaced the same way,0
347,i would warn anyone purchasing any asus computers that they do not last,0
348,that computer is retired no faster than this asus and less than hours on a charge,0
349,with less than dollars i give stars to this hp model,0
350,thought it was a regular computer,0
351,bought this device used it for less than a week and now it wont power on,0
352,my last computer a dell lasted for years,0
353,it doesnt have all the bells whistles of other laptops on the market but for the price quality i hope this lasts for quite some time,1
354,it would be a great laptop if it worked or the company actually provided service,1
355,i purchased mine from walmart in my city for less than i could get it online but its worth the price i see it advertised on amazon or anywhere else,0
356,i wanted to run linux on it figured it would be no big deal but it uses a bit uefi boot loader on a bit cpu architecture which is ridiculous to try and change the operating system since there is virtually no linux distros that support it its also running a bit version of windows why have a bit cpu and put a bit os on it the only way to boot linux is to get ahold of a bit uefi boot loader put in the efiboot folder on your install medium then when it freezes on a command line while booting cd into the drivers,1
357,battery can last for several hours as advised but that number gets reduced if you use it on maximum performance mode of course,0
358,my only worry is that this freezing thing will get worse at the year mark but im trying my best to treat it well and hopefully this computer can last at least years,1
359,i purchased the extended year warranty for added piece of mind but hopefully i wont need to use it,1
360,never the less it could be but i have properly working laptop that has fallen apart from its monitor and can not be put back no matter what,0
361,i setup my chromebook to allow my family members to login as regular users,0
362,might be the last considering the support,0
363,they agreed to fix the computer but i would be without the computer for about weeks including ship time there and back and actual repair time,0
364,i hope that this laptop can last a couple of years,0
365,well according to wikipedia in computing a trim command allows an operating system to inform a solid state drive ssd which blocks of data are no longer considered in use and can be wiped internally,0
366,avg uses much less cpu when sitting idle,0
367,i am a mac person for the last years,0
368,im hoping this will last me years like my macbook did,0
369,with the lower portion of the ports sitting outside of the case,0
370,this is the second chromebook for my house and not the last my next computer will be another chromebook or a chromebox,0
371,a few things to note there is no optical drive youll need to use an external drive or download your software from the net,0
372,until last night id have given this computer stars,0
373,now less than years later the cover is coming apart,0
374,with gaming and designing i could barely last hours,0
375,a few days later i called asus sustomer support and filed a rma form,0
376,i had to buy an external drive though later on i had thought i would not need it but i do for the work i doing with it,0
377,in the last years ive gone through solid state drives,0
378,updated with this model a few years later and what,0
379,my problem is that the warranty shows starting in june and expiring in less than months,0
380,i installed it in less than a minute and required no dismantling of the laptop,0
381,probably rolling back the driver to the previous update or waiting for a fix by asus is the solution,0
382,also i found this machine on sale today at dell and frys for less than while at couple of online stores i note the price at over,0
383,i tried to back it up to a proper gb flash drive and the screen immediately started flashing on and off,0
384,theres a function in windows settings that lets you see what appsprocesses are draining the battery over the last hours,0
385,didnt even last hours before the screen went out,0
386,the screen is a victim of getting the price to where it is,0
387,for me im much less productive as a result,0
388,i wish the ac power adapter had prongs that stowed away for when carrying this in a bag,1
389,i would think that paying this price for a computer it would last longer than months,0
390,com and found windows pro oem for th of the regular price legit and verified but use paypal,0
391,i thought id be buying something that id have for a few years but less than a year in im having a lot of problems with it,0
392,maybe im the april fool to keep trying but number four about p m last night i unboxed number four,0
393,battery realistically will last hours with wifi and internet surfing instead of the hrs advertised,0
394,but it would be nice if the build quality would at hold up for a year,1
395,the chromebook will say it has hours left and a few minutes later it dies,0
396,i am done whp products nothing is designed to last beyond years and ive bought from the highest end to the cheaper,0
397,had it less than hours,0
398,i been waiting to get one since last year,0
399,consi did have issues with wifi dropping about times but i updated the drivers and fingers crossed no issues for the last week,0
400,its a bit slower than my wifes regular computer but it gets the job done,0
401,hopefully the machine will last i do see that some people have issues crop up after a few months of use but type any computer manufactures followed by the words problems or issue and you will get billions of hits it comes with the program,0
402,yes it would be nice if the screen was higher resolution but for most of what i want to use it for and for the money this is a great deal,1
403,what i got was just a blue screen not on or off i shut it off and put it back on,0
404,how i came to buy this computer a few weeks ago i spilled water next to my macbook pro and fried the logic board,0
405,this is third computer from amazon and from hsn that i have purchased in the last few weeks,0
406,thank you amazon for taking it back im looking forward to another computer of another brand one which actually has customer service,0
407,i contacted google regarding the problems and after several attempts to get it going properly the google rep concluded the device needed to have the version of the google operating system updated,0
408,i have used it regularly each day as a second computer to the tabletop we keep in our office,0
409,so you have to make a judgement call but it would be great if you could have some hard data to help,1
411,it lost the driver to the internet overheated the screen flashed darklight all in less than two weeks of receiving the product,0
412,i cant remember the last time i even used a software program,0
413,i got this computer last month for school,0
414,this is the last asus product i will ever buy and the last time i will use the microsoft store to purchase hardware,0
415,i have a regular drive for documents and everything else,0
416,performance it does crash once in a while but less after system updates,0
417,hopefully asus improves the battery to last about to hours in future models of this laptop,0
418,as for internal memory remember you have a usb a usb a sd card slot and a regular size hdmi port,0
419,last years display was criticized for being a pentile display and for its yellowish hue,0
420,they could have also made it user replaceable like companies have been doing for the last decade,0
421,i havent owned one before but i have owned several desktops as well as a few laptops and macbook pros over the course of the last years,0
423,there is no way to configure the keyboards backlight outside of shutting it of turning it on or off there is no way to change the brightness level or set it to always on this is not a huge issue but it would be nice to be able to stop the keyboard backlight from shutting off after seconds of the last keystroke,1
424,lastly here are the disk performance results for the internal gb ssd storage,0
425,turns out i didnt buy it from amazon i bought it from casol electronicsand casol is not an authorized dealer of viziothereforeno warranty to boot i was outside of the day amazon electronics return so no help there eitheruntil i logged into an amazon chat dialog,0
426,makes the machine less portable,0
427,the last laptop i bought was over eight years ago,0
